Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
23,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,2
23,7,5,1,289,36,13,33,239554,97,0,1,2,1,0,1,90,172,30,2
23,7,6,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,2
22,7,6,1,361,52,3,28,239554,97,0,1,1,1,0,4,80,172,27,8
22,7,2,1,235,11,14,37,239554,97,0,3,1,0,0,1,88,172,29,8
1,7,2,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,23,8
1,7,3,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,23,8
11,7,4,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,23,8
14,7,6,1,246,25,16,41,239554,97,0,1,0,1,0,0,67,170,23,8
23,7,6,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,2
21,7,2,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,8
11,7,5,1,189,29,13,33,239554,97,0,1,2,0,0,2,69,167,25,8
23,8,4,1,248,25,14,47,205917,92,0,1,2,0,0,1,86,165,32,2
10,8,4,1,330,16,4,28,205917,92,0,2,0,0,0,0,84,182,25,8
18,8,2,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,30,8
18,8,4,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,30,8
23,8,6,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,2
18,8,2,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,8
18,8,5,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,33,8
18,8,2,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,33,8
23,8,2,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,2
24,8,3,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,30,8
28,8,6,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,33,8
23,9,3,1,184,42,7,27,241476,92,0,1,0,0,0,0,58,167,21,2
19,9,3,1,235,20,13,43,241476,92,0,1,1,1,0,0,106,167,38,8
23,9,4,1,155,12,14,34,241476,92,0,1,2,1,0,0,95,196,25,2
22,9,6,1,260,50,11,36,241476,92,0,1,4,1,0,0,65,168,23,8
23,9,3,4,225,26,9,28,241476,92,0,1,1,0,0,2,69,169,24,2
23,9,3,4,118,10,10,37,241476,92,0,1,0,0,0,0,83,172,28,2
23,10,4,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,24,2
23,10,4,4,248,25,14,47,253465,93,0,1,2,0,0,1,86,165,32,2
23,10,4,4,179,51,18,38,253465,93,0,1,0,1,0,0,89,170,31,8
14,10,3,4,291,31,12,40,253465,93,0,1,1,1,0,1,73,171,25,8
28,10,3,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,24,2
26,10,4,4,289,36,13,33,253465,93,0,1,2,1,0,1,90,172,30,8
13,11,5,4,179,51,18,38,306345,93,0,1,0,1,0,0,89,170,31,8
21,11,5,4,179,22,17,40,306345,93,0,2,2,0,1,0,63,170,22,8
22,11,2,4,189,29,13,33,306345,93,0,1,2,0,0,2,69,167,25,8
6,11,6,4,155,12,14,34,306345,93,0,1,2,1,0,0,95,196,25,8
21,11,4,4,179,22,17,40,306345,93,0,2,2,0,1,0,63,170,22,8
23,12,4,4,118,13,18,50,261306,97,0,1,1,1,0,0,98,178,31,2
26,12,4,4,235,11,14,37,261306,97,0,3,1,0,0,1,88,172,29,8
23,12,5,4,225,26,9,28,261306,97,0,1,1,0,0,2,69,169,24,2
26,12,6,4,260,50,11,36,261306,97,0,1,4,1,0,0,65,168,23,8
22,12,4,4,361,52,3,28,261306,97,0,1,1,1,0,4,80,172,27,8
23,12,3,4,225,26,9,28,261306,97,0,1,1,0,0,2,69,169,24,2
22,12,4,4,361,52,3,28,261306,97,0,1,1,1,0,4,80,172,27,8
27,12,6,4,118,10,10,37,261306,97,0,1,0,0,0,0,83,172,28,2
19,12,6,2,246,25,16,41,261306,97,0,1,0,1,0,0,67,170,23,8
23,12,6,2,225,26,9,28,261306,97,0,1,1,0,0,2,69,169,24,2
18,1,3,2,155,12,14,34,308593,95,0,1,2,1,0,0,95,196,25,8
27,1,4,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,24,2
23,1,5,2,184,42,7,27,308593,95,0,1,0,0,0,0,58,167,21,2
28,1,5,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,24,2
27,1,2,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
27,1,3,2,225,26,9,28,308593,95,0,1,1,0,0,2,69,169,24,2
27,1,3,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
27,1,4,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
27,1,5,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
27,1,6,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
27,1,2,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
27,1,3,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
18,1,3,2,179,26,9,30,308593,95,0,3,0,0,0,0,56,171,19,8
18,1,3,2,289,36,13,33,308593,95,0,1,2,1,0,1,90,172,30,8
27,1,4,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
23,1,5,2,184,42,7,27,308593,95,0,1,0,0,0,0,58,167,21,2
27,1,5,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,2
