column_2,column_3,column_4,column_5,column_6,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_7
6,3,0,0,1,0,0,5,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,1
3,1,0,0,6,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0
1,4,0,0,1,0,1,3,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,1,0,6,1,1
1,4,0,0,1,0,1,5,1,0,1,1,1,1,0,6,0,0,0,0,1,0,1,0,0,0,0,6,1
2,3,2777,28,2,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2,3,2777,28,2,0,3,3,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
6,2,7690,15,1,0,0,3,1,0,1,0,1,0,0,1,0,1,1,1,6,0,0,0,0,0,6,1,1
3,1,84,8,4,0,3,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,0
1,4,19,0,1,0,3,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
1,4,0,0,1,3,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
3,1,31,10,6,3,0,3,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0
1,4,23,0,1,0,2,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,5,6,1
1,4,0,0,1,0,0,6,1,1,1,1,1,1,0,6,1,1,1,1,0,0,0,1,1,0,6,6,1
2,3,1099,6,2,0,3,3,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,0
2,3,8512,119,6,0,0,4,0,1,1,1,1,0,0,4,1,0,0,0,22,0,0,0,0,1,3,4,0
1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,6,1,1
4,1,474,8,3,3,0,3,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,3,1
1,4,9976,24,1,2,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,5,6,1
4,4,4,0,6,1,2,5,1,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,1,0,5,4,0
1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,6,1,1
2,3,757,11,2,0,2,3,1,0,1,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1,6,0
2,4,1139,28,2,0,3,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,0
6,3,0,0,1,0,0,4,1,0,1,0,1,0,0,1,1,1,1,1,15,0,0,0,0,0,6,1,1
1,4,51,2,2,0,5,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
3,1,9,1,6,0,0,3,0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,1,1,0,6,7,1
3,1,43,5,6,0,0,2,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,1
1,4,0,0,1,0,0,6,1,1,1,1,1,1,0,4,1,0,0,0,10,0,0,0,1,0,3,4,1
1,4,49,6,2,0,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
2,3,284,8,2,0,3,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,0
1,4,21,5,2,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
4,1,1222,31,10,0,3,3,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,1
3,4,1,0,6,0,0,3,1,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,1
2,3,12,0,1,0,0,6,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,1,1
6,2,18,1,1,0,0,7,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0,1,1,0,6,1,1
3,1,337,5,9,0,0,2,0,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,1
3,1,547,54,3,3,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,0
2,4,91,0,3,3,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,0
6,3,4,0,3,0,3,5,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,0
3,1,249,61,4,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
3,4,0,0,1,0,1,3,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,6,6,1
3,1,132,10,6,0,9,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1
1,4,2176,0,6,0,0,2,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,6,6,1
1,4,0,0,1,0,0,3,1,1,0,1,0,0,0,3,1,0,0,0,7,0,1,0,1,0,5,6,1
6,1,0,0,1,0,0,7,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,5,6,1
1,4,109,8,2,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,4,28,6,3,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1,4,112,4,2,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0
3,4,103,0,6,0,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
3,4,70,3,1,3,0,3,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,3,5,0
3,1,301,57,6,3,0,3,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,3,6,0
1,4,11,2,1,0,0,3,0,1,0,1,0,1,0,4,0,0,1,0,0,0,1,0,0,0,2,3,1
6,1,0,0,1,0,0,4,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,5,1,1
3,1,0,0,4,0,2,3,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,6,0
3,1,3,0,4,0,3,3,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,0
4,2,587,9,10,1,2,3,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6,4,1
3,1,0,0,10,2,0,3,1,0,0,0,1,1,0,6,0,1,0,0,0,0,0,1,0,0,6,6,0
6,1,0,0,10,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1
1,4,1973,77,2,3,0,4,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,3,6,0
6,1,1,0,10,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,1
3,1,0,0,3,0,2,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,0
1,4,0,0,1,0,0,7,1,1,1,1,1,1,0,1,0,2,1,1,0,0,0,1,1,0,6,1,1
6,2,0,0,10,0,3,3,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
3,1,41,14,6,0,3,3,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,1
1,4,0,0,6,0,1,3,1,0,1,0,1,0,0,7,0,0,0,0,6,0,0,0,0,0,6,7,1
6,2,268,2,1,0,0,3,1,0,1,0,1,0,0,1,0,1,1,1,4,0,0,0,0,0,6,1,1
1,4,128,3,2,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
6,3,0,0,1,0,0,4,1,0,1,1,1,0,0,3,1,1,1,1,5,0,0,0,0,0,6,3,1
3,1,324,4,6,0,0,3,1,0,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,1
2,4,76,2,2,0,0,3,1,0,1,0,1,0,0,6,0,0,0,4,2,0,0,0,0,0,6,7,0
2,3,407,3,2,0,3,6,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,0
2,3,1285,14,2,3,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,0
6,1,300,48,10,0,0,4,1,0,1,1,1,0,0,1,0,0,0,0,4,0,1,0,0,0,1,6,0
3,4,92,10,6,0,0,5,1,1,1,1,1,0,0,6,1,0,0,0,0,0,0,1,0,0,3,6,0
1,4,9,3,2,0,5,3,1,0,1,0,1,0,0,6,0,0,0,0,1,0,1,0,0,0,5,6,0
